ID,username,password,role
7447677,Cristiano.R,2255,admin
9898118,lio.m,2222,lead
5662557,man.n,3333,member
5687866,ro.l,8888,member
3557832,ga.b,9999,member
2592572,thi.c,5555,member
1554306,Eden.H,9106,lead
4788888,Thiago.S,5052,student
1863421,Sergio.R,7228,student
4865631,Paul.P,6956,member
7476758,Antoine.G,6795,student
3938213,Marco.R,8512,student
8382345,Toni.K,7595,student
1042748,Mats.H,1111,student
1228464,Hugo.L,2193,student
4850789,Giorgio.C,1201,student
5484541,Philipp.L,4214,student
7998314,Gianluigi.B,2351,student
5086282,Leonardo.B,9413,student
8466074,ar.r,7777,advisor
2567260,Paulo.D,1312,advisor
8347432,Marco.V,8780,faculty
4720327,David.A,3861,faculty
7525643,Henrikh.M,2636,faculty
2472659,Karim.B,3828,faculty
1111111,ohm.s,1111,lead
2222222,ohmza,1234,student
